Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",173.655000,-73.775000,0.000000,top
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.855000,-81.947500,90.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.337500,-56.950000,0.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.745833,-56.950000,0.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.154167,-56.950000,0.000000,top
"C6","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.587500,-60.700000,0.000000,top
"C7","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.921429,-60.700000,0.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.187500,-96.825000,180.000000,top
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",104.962500,-56.970000,180.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",104.962500,-68.950000,180.000000,top
"C11","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",154.487500,-59.500000,180.000000,top
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",166.637500,-59.500000,180.000000,top
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",123.775000,-60.675000,180.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",119.383333,-60.675000,180.000000,top
"C15","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.991667,-60.675000,180.000000,top
"C16","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",110.600000,-60.675000,180.000000,top
"C17","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.500000,-83.275000,180.000000,top
